uid	Health	acquariumType	age	alive	ancestors	birth	color	deathNum	fishInVision	foodInVision	generation	hitbox	lenX	lenY	lookingBounds	parent	showVision	uid	visionValueFront	visionValueLeft	visionValueRight	x	y
880	150	Fish	15005	False	43097,12219,13665,	39675	(150, 49, 9)	15000	[60889]	[58637, 26567, 3695, 33566, 23878, 11488, 40334, 44608, 33753, 41536, 16466, 57765]	4	(1168, 379, 60, 60)	60	60	(1108, 319, 1288, 499)	13665	True	880	60	10	10	1168	379
55371	150	Fish	15005	False	43097,12219,13665,880,	48983	(48, 2, 49)	15000	[21923, 8285]	[58637, 26567, 3695, 23878, 11488, 40334, 44608, 33753, 41536, 16466, 57765, 10426, 56696, 47918, 22767, 5210, 32741, 18846, 19748]	5	(1168, 379, 60, 60)	60	60	(1108, 319, 1288, 499)	880	True	55371	60	10	10	1168	379
19393	150	Fish	15005	False	43097,12219,13665,880,55371,	56607	(201, 17, 74)	15000	[5388, 53612]	[58637, 26567, 3695, 23878, 11488, 40334, 44608, 33753, 41536, 57765, 10426, 56696, 47918, 22767, 5210, 32741, 18846, 19748]	6	(1168, 379, 60, 60)	60	60	(1108, 319, 1288, 499)	55371	True	19393	60	10	10	1168	379
17573	150	Fish	15005	False	43097,12219,13665,880,55371,19393,	59978	(235, 220, 48)	15000	[59594, 31013]	[58637, 26567, 3695, 23878, 11488, 40334, 44608, 33753, 41536, 57765, 10426, 56696, 47918, 22767, 5210, 32741, 18846, 19748]	7	(1168, 379, 60, 60)	60	60	(1108, 319, 1288, 499)	19393	True	17573	60	10	10	1168	379
7984	150	Fish	15005	False		18381	(68, 82, 234)	15000	[]	[]	1	(1278, 688, 60, 60)	60	60	(1218, 628, 1398, 808)		True	7984	60	10	10	1278	688
29799	150	Fish	15005	False	7984,	36170	(69, 221, 250)	15000	[]	[]	2	(1278, 688, 60, 60)	60	60	(1218, 628, 1398, 808)	7984	True	29799	60	10	10	1278	688
14867	150	Fish	15005	False	7984,29799,	38482	(64, 55, 25)	15000	[]	[]	3	(1278, 688, 60, 60)	60	60	(1218, 628, 1398, 808)	29799	True	14867	60	10	10	1278	688
60889	150	Fish	15005	False	7984,29799,14867,	39675	(109, 109, 184)	15000	[]	[]	4	(1278, 688, 60, 60)	60	60	(1218, 628, 1398, 808)	14867	True	60889	60	10	10	1278	688
21923	150	Fish	15005	False	7984,29799,14867,60889,	48983	(227, 107, 50)	15000	[]	[19748]	5	(1278, 688, 60, 60)	60	60	(1218, 628, 1398, 808)	60889	True	21923	60	10	10	1278	688
5388	150	Fish	15005	False	7984,29799,14867,60889,21923,	56607	(225, 169, 248)	15000	[]	[19748]	6	(1278, 688, 60, 60)	60	60	(1218, 628, 1398, 808)	21923	True	5388	60	10	10	1278	688
